row	col	stype	detail	dilution	standard_curve
A	1	standard	5	1	MoPrP16
A	2	standard	5	1	MoPrP16
A	3	standard	5	1	RaPrP50
A	4	standard	5	1	RaPrP50
A	5	standard	5	1	CyPrP51
A	6	standard	5	1	CyPrP51
A	7	sample	100% WT to KO	100	MoPrP16
A	8	sample	100% WT to KO	100	MoPrP16
A	9	sample	Mo Pos Hi QC	100	MoPrP16
A	10	sample	Mo Pos Hi QC	100	MoPrP16
A	11	sample	100% WT to KO	200	MoPrP16
A	12	sample	100% WT to KO	200	MoPrP16
B	1	standard	2	1	MoPrP16
B	2	standard	2	1	MoPrP16
B	3	standard	2	1	RaPrP50
B	4	standard	2	1	RaPrP50
B	5	standard	2	1	CyPrP51
B	6	standard	2	1	CyPrP51
B	7	sample	90% WT to KO	100	MoPrP16
B	8	sample	90% WT to KO	100	MoPrP16
B	9	sample	Mo Pos Mid QC	100	MoPrP16
B	10	sample	Mo Pos Mid QC	100	MoPrP16
B	11	sample	90% WT to KO	200	MoPrP16
B	12	sample	90% WT to KO	200	MoPrP16
C	1	standard	0.8	1	MoPrP16
C	2	standard	0.8	1	MoPrP16
C	3	standard	0.8	1	RaPrP50
C	4	standard	0.8	1	RaPrP50
C	5	standard	0.8	1	CyPrP51
C	6	standard	0.8	1	CyPrP51
C	7	sample	75% WT to KO	100	MoPrP16
C	8	sample	75% WT to KO	100	MoPrP16
C	9	sample	Mo Pos Lo QC	100	MoPrP16
C	10	sample	Mo Pos Lo QC	100	MoPrP16
C	11	sample	75% WT to KO	200	MoPrP16
C	12	sample	75% WT to KO	200	MoPrP16
D	1	standard	0.32	1	MoPrP16
D	2	standard	0.32	1	MoPrP16
D	3	standard	0.32	1	RaPrP50
D	4	standard	0.32	1	RaPrP50
D	5	standard	0.32	1	CyPrP51
D	6	standard	0.32	1	CyPrP51
D	7	sample	50% WT to KO	100	MoPrP16
D	8	sample	50% WT to KO	100	MoPrP16
D	9	sample	Mo Neg QC	100	MoPrP16
D	10	sample	Mo Neg QC	100	MoPrP16
D	11	sample	50% WT to KO	200	MoPrP16
D	12	sample	50% WT to KO	200	MoPrP16
E	1	standard	0.128	1	MoPrP16
E	2	standard	0.128	1	MoPrP16
E	3	standard	0.128	1	RaPrP50
E	4	standard	0.128	1	RaPrP50
E	5	standard	0.128	1	CyPrP51
E	6	standard	0.128	1	CyPrP51
E	7	sample	25% WT to KO	100	MoPrP16
E	8	sample	25% WT to KO	100	MoPrP16
E	9	sample	Mo Pos Hi QC	200	MoPrP16
E	10	sample	Mo Pos Hi QC	200	MoPrP16
E	11	sample	25% WT to KO	200	MoPrP16
E	12	sample	25% WT to KO	200	MoPrP16
F	1	standard	0.0512	1	MoPrP16
F	2	standard	0.0512	1	MoPrP16
F	3	standard	0.0512	1	RaPrP50
F	4	standard	0.0512	1	RaPrP50
F	5	standard	0.0512	1	CyPrP51
F	6	standard	0.0512	1	CyPrP51
F	7	sample	10% WT to KO	100	MoPrP16
F	8	sample	10% WT to KO	100	MoPrP16
F	9	sample	Mo Pos Mid QC	200	MoPrP16
F	10	sample	Mo Pos Mid QC	200	MoPrP16
F	11	sample	10% WT to KO	200	MoPrP16
F	12	sample	10% WT to KO	200	MoPrP16
G	1	standard	0.02048	1	MoPrP16
G	2	standard	0.02048	1	MoPrP16
G	3	standard	0.02048	1	RaPrP50
G	4	standard	0.02048	1	RaPrP50
G	5	standard	0.02048	1	CyPrP51
G	6	standard	0.02048	1	CyPrP51
G	7	sample	0% WT to KO	100	MoPrP16
G	8	sample	0% WT to KO	100	MoPrP16
G	9	sample	Mo Pos Lo QC	200	MoPrP16
G	10	sample	Mo Pos Lo QC	200	MoPrP16
G	11	sample	0% WT to KO	200	MoPrP16
G	12	sample	0% WT to KO	200	MoPrP16
H	1	standard	0	1	MoPrP16
H	2	standard	0	1	MoPrP16
H	3	standard	0	1	RaPrP50
H	4	standard	0	1	RaPrP50
H	5	standard	0	1	CyPrP51
H	6	standard	0	1	CyPrP51
H	9	sample	Mo Neg QC	200	MoPrP16
H	10	sample	Mo Neg QC	200	MoPrP16
