Well Row,Well Col,CONTENT,Raw Data (450BP) 1,Raw Data (620BP) 1,V6
A,1,X1,1.7662,0.2381,
A,2,X2,2.152,0.2397,
A,3,X3,0.5432,0.2213,
A,4,X4,0.5779,0.2216,
A,5,X5,0.4028,0.2188,
A,6,X6,0.4056,0.2155,
A,7,X7,0.2243,0.2156,
A,8,X8,0.2146,0.2121,
A,9,X9,0.6831,0.217,
A,10,X10,0.6786,0.2189,
A,11,X11,0.6654,0.2195,
A,12,X12,0.6381,0.2215,
B,1,X13,0.9438,0.2057,
B,2,X14,1.1665,0.2077,
B,3,X15,0.5139,0.1961,
B,4,X16,0.5305,0.1939,
B,5,X17,0.5524,0.2013,
B,6,X18,0.5611,0.202,
B,7,X19,0.375,0.195,
B,8,X20,0.3978,0.1966,
B,9,X21,0.8046,0.1981,
B,10,X22,0.7917,0.1935,
B,11,X23,0.4397,0.1957,
B,12,X24,0.4202,0.192,
C,1,X25,0.5191,0.1983,
C,2,X26,0.5673,0.2005,
C,3,X27,0.4841,0.1981,
C,4,X28,0.4919,0.201,
C,5,X29,0.4585,0.1988,
C,6,X30,0.4716,0.209,
C,7,X31,0.3691,0.2004,
C,8,X32,0.3721,0.2046,
C,9,X33,0.7301,0.2008,
C,10,X34,0.7307,0.2043,
C,11,X35,0.2752,0.1932,
C,12,X36,0.2711,0.1927,
D,1,X37,0.3322,0.2001,
D,2,X38,0.334,0.1976,
D,3,X39,0.5223,0.202,
D,4,X40,0.5355,0.204,
D,5,X41,0.4275,0.2008,
D,6,X42,0.4298,0.211,
D,7,X43,0.3714,0.1962,
D,8,X44,0.3751,0.1992,
D,9,X45,0.7719,0.2068,
D,10,X46,0.7794,0.2119,
D,11,X47,0.2263,0.1955,
D,12,X48,0.2179,0.1881,
E,1,X49,0.2298,0.1881,
E,2,X50,0.2357,0.19,
E,3,X51,0.3973,0.193,
E,4,X52,0.3977,0.1886,
E,5,X53,0.3824,0.1878,
E,6,X54,0.3853,0.1895,
E,7,X55,0.3892,0.1893,
E,8,X56,0.3984,0.1953,
E,9,X57,0.7209,0.1921,
E,10,X58,0.7242,0.1995,
E,11,X59,0.2057,0.1849,
E,12,X60,0.2045,0.1841,
F,1,X61,0.196,0.1693,
F,2,X62,0.1963,0.1758,
F,3,X63,0.527,0.1751,
F,4,X64,0.5471,0.1767,
F,5,X65,0.4421,0.1714,
F,6,X66,0.4395,0.172,
F,7,X67,0.4024,0.1846,
F,8,X68,0.4134,0.191,
F,9,X69,0.6827,0.1749,
F,10,X70,0.6659,0.1802,
F,11,X71,0.1986,0.1694,
F,12,X72,0.1981,0.1674,
G,1,X73,0.1797,0.1637,
G,2,X74,0.1772,0.1681,
G,3,X75,0.4276,0.1669,
G,4,X76,0.4321,0.1718,
G,5,X77,0.3458,0.1702,
G,6,X78,0.3589,0.1729,
G,7,X79,0.3198,0.1792,
G,8,X80,0.3257,0.1789,
G,9,X81,0.4943,0.164,
G,10,X82,0.5007,0.1674,
G,11,X83,0.1872,0.1579,
G,12,X84,0.1864,0.162,
H,1,X85,0.1744,0.1719,
H,2,X86,0.178,0.1753,
H,3,X87,0.5078,0.1743,
H,4,X88,0.5302,0.1764,
H,5,X89,0.3754,0.1723,
H,6,X90,0.4,0.2059,
H,7,X91,0.3668,0.1765,
H,8,X92,0.3662,0.1708,
H,9,X93,0.7052,0.1734,
H,10,X94,0.7124,0.1732,
H,11,X95,0.1878,0.1658,
H,12,X96,0.1853,0.1625,
